text_features,speeding,signal_violation,careless_driving,distracted,wrong_lane,drink_drive,LATITUDE,LONGITUDE
unspecified,0,0,0,0,0,0,40.89711,-73.88008
following too closely unspecified,0,0,1,0,0,0,40.685795,-73.911644
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.69305,-73.799446
unspecified unspecified,0,0,0,0,0,0,40.609535,-73.75372
unsafe lane changing unspecified,0,0,1,0,0,0,40.720627,-74.00522
unspecified,0,0,0,0,0,0,40.763496,-73.87814
unsafe speed unspecified unspecified,0,0,0,0,0,0,40.686646,-73.849075
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.579445,-73.9544
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.762966,-73.973976
driver inexperience unspecified,0,0,0,0,0,0,40.76555,-73.83911
backing unsafely,0,0,0,0,0,0,40.779602,-73.95553
unsafe speed unspecified,0,0,0,0,0,0,40.553192,-74.164345
failure to yield right-of-way unspecified,0,1,0,0,0,0,40.836094,-73.883995
unspecified,0,0,0,0,0,0,40.59692,-73.94122
unspecified unspecified,0,0,0,0,0,0,40.62318,-73.98611
unspecified unspecified,0,0,0,0,0,0,40.67562,-73.88826
unsafe speed,0,0,0,0,0,0,40.80609,-73.95414
unsafe lane changing driver inattention/distraction,0,0,1,1,0,0,40.87739,-73.8665
driver inattention/distraction failure to yield right-of-way,0,1,0,1,0,0,40.689133,-73.951324
passing or lane usage improper unspecified,0,0,0,0,0,0,40.83604,-73.92222
driver inattention/distraction,0,0,0,1,0,0,40.76649,-73.95696
pedestrian/bicyclist/other pedestrian error/confusion unspecified,0,0,0,0,0,0,40.731613,-73.9545
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.708324,-74.00311
unsafe speed unspecified unspecified,0,0,0,0,0,0,40.65375,-73.931274
passing too closely unspecified,0,0,1,0,0,0,40.60675,-73.756645
driver inattention/distraction unspecified,0,0,0,1,0,0,40.743534,-73.93951
failure to yield right-of-way,0,1,0,0,0,0,40.678364,-73.77949
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.724274,-74.01136
driver inexperience,0,0,0,0,0,0,40.8188,-73.956024
driver inattention/distraction unspecified,0,0,0,1,0,0,40.69558,-73.788704
unspecified unspecified unspecified,0,0,0,0,0,0,40.80484,-73.912796
driver inattention/distraction unspecified unspecified,0,0,0,1,0,0,40.658466,-73.96049
driver inattention/distraction unspecified,0,0,0,1,0,0,40.868164,-73.90054
driver inexperience unspecified,0,0,0,0,0,0,40.66169,-73.96143
driver inattention/distraction unspecified,0,0,0,1,0,0,40.87037,-73.87052
unspecified unspecified,0,0,0,0,0,0,40.69674,-73.76292
driver inattention/distraction unspecified,0,0,0,1,0,0,40.65958,-73.89247
